mois,nb_commandes,chiffre_affaires
2022-02,1,11.5
2022-03,1,20.2
2022-04,2,459.9
2022-05,2,429.1
2022-06,1,31.4
2022-07,2,191.6
2022-08,1,11.8
2022-09,2,504.4
2022-10,1,23.5
2022-11,2,430.07
2022-12,1,9.4
2023-01,2,972.0
2023-02,1,16.0
2023-03,2,594.28
2023-04,1,18.0
2023-05,2,525.7
2023-06,1,21.9
2023-07,2,641.3
2023-08,1,13.4
2023-09,2,668.25
2023-10,1,13.1
2023-11,2,714.0
2024-01,1,31.4
2024-02,2,827.5
2024-03,1,10.7
2024-04,2,438.6
2024-05,4,800.45
2025-01,21,13878.63
2025-02,20,14936.59
2025-03,17,14453.81
2025-04,18,10431.33
2025-05,22,12196.27
2025-06,21,20932.38
2025-07,20,12814.8
2025-08,19,12320.83
2025-09,21,12705.74
2025-10,17,8078.35
2025-11,20,5020.19
2025-12,21,8331.9
2026-01,20,11257.55
2026-02,18,6494.07
2026-03,18,5675.1
