produit,categorie,total_vendu,chiffre_affaires
Sablés Bretons,Biscuits,2573,10395.5
Guimauves Framboise,Bonbons,2294,9991.36
Mix Bonbons Vrac,Bonbons,2272,16480.49
Tablette Blanc Vanille,Chocolats,2124,5716.27
Tablette Lait Noisette,Chocolats,2078,6004.67
Truffes Cacao,Chocolats,1911,21552.16
Caramels Beurre Salé,Bonbons,1854,9175.92
Langues de Chat,Biscuits,1817,6397.77
Cookies Pépites Choco,Biscuits,1770,8230.71
Ourson Guimauve,Bonbons,1712,6372.96
Tablette Noir 70%,Chocolats,1690,5365.65
Madeleines Nature,Biscuits,1668,5988.89
Réglisse Torsadée,Bonbons,1648,4346.16
Pralinés Maison,Chocolats,1629,21884.93
Fraises Tagada Maison,Bonbons,1620,5479.66
Boîte Assortiment Prestige,Chocolats,1526,25955.22
Financiers Amande,Biscuits,1486,9233.95
Palmiers Caramélisés,Biscuits,1482,4841.44
